snapped_at,BTC_price,BTC_market_cap,BTC_total_volume,ETH_price,ETH_market_cap,ETH_total_volume,BUSD_price,BUSD_market_cap,BUSD_total_volume,TRY_price,TRY_market_cap,TRY_total_volume
2024-07-05 00:00:00 UTC,57189.17412408636,1130121668991.0515,43112005394.93119,3069.0434008340803,369571668593.03217,19209988737.68869,0.9788781139864112,68203030.44807327,366693.8277096681,0.0305821043465276,0.0,8.877373249710056
2024-07-06 00:00:00 UTC,56739.86285107204,1118490666778.4585,60081357583.2773,2984.398102498264,358878418412.549,31755421068.593773,0.9851010212057127,68596094.56173807,766653.5028554654,0.0306489952324567,0.0,17.244771457645037
2024-07-07 00:00:00 UTC,58230.4841542266,1147176330416.144,21293913670.91997,3066.247437954064,368279414918.9943,9871087552.273798,1.0062233202325217,69905776.46567477,994289.734669858,0.0307710679863978,0.0,0.0556956330553801
2024-07-08 00:00:00 UTC,55880.3753776708,1100452083927.7026,20211914621.326435,2928.6012310061665,350977454882.58325,10243406181.924892,0.986533864572385,68258121.56536521,970998.9793424496,0.0305335351524447,0.0,4.283549646536469
2024-07-09 00:00:00 UTC,56665.14073352028,1117615464651.686,41614266908.30467,3016.0833537946064,362836336467.4191,20819810746.374283,0.9984211677468848,69502687.75832455,1032033.5194361148,0.0305335351524447,0.0,4.283549646536469
2024-07-10 00:00:00 UTC,57988.30351208401,1144794688186.9604,28413854577.26276,3064.0923605197886,368733224976.19775,14902982165.592142,0.9942931585186496,69121782.22056055,1017227.3249515094,0.030412407189928,0.0,0.1684847358322013
2024-07-11 00:00:00 UTC,57704.20228446288,1139350681822.5857,25987656347.278587,3099.7101861313545,372867773189.4008,14523237728.597153,0.996099871403529,69458400.29011142,1031891.4918620308,0.0304256845649587,0.0,16.816580115898372
2024-07-12 00:00:00 UTC,57388.19247916668,1130276546536.143,29196653598.752663,3102.0902302291074,372384838887.21234,14058546522.739754,0.9999867622092709,69430289.01177011,998318.4101805468,0.0304256845649587,0.0,16.816580115898372
2024-07-16 00:00:00 UTC,64835.48973321571,1277806993830.5176,37810068492.86247,3488.538758027717,419316550609.6248,18368344859.43064,1.032562504637369,71707974.82589002,1006183.6510690268,0.0302309673137878,0.0,2.877282003027027
2024-07-17 00:00:00 UTC,65162.23625234354,1284899538175.1812,40914441633.09575,3446.7658893041003,414703698412.0949,21040427365.58812,0.9989939990533656,69362625.52830188,917446.5729095716,0.0302309673137878,0.0,2.877282003027027
2024-07-18 00:00:00 UTC,64136.31384360687,1266016458007.3477,33459451713.593426,3389.441287038116,407908628077.6722,16978839263.794697,0.977795810788484,67934103.69498429,962335.8272140602,0.0301863330428684,0.0,6942.044710482243
2024-07-19 00:00:00 UTC,63959.56900809379,1261456293182.2588,25976148878.632156,3428.5520187667257,412233122047.3164,14884776298.264118,0.940999912123622,65406386.73464927,21640.599001377686,0.0301799496088096,0.0,245.49062582783176
2024-07-20 00:00:00 UTC,66689.54880734957,1316147398343.7175,36994610752.230415,3505.222536388452,421392010127.0308,17784761899.551624,0.9870288886315854,68623099.30295429,48501.66318225719,0.0302548828619427,0.0,1.4052966674206544
2024-07-21 00:00:00 UTC,67206.06470614894,1325658979467.9998,17353396168.041622,3522.8013028122487,423550664963.5061,9427844289.70798,0.9958948116892886,69226106.24097833,2250.810357636734,0.0302470630979774,0.0,15.562337259295134
2024-07-22 00:00:00 UTC,68088.13996324532,1343346742483.077,27078771827.95196,3533.118349531153,424780865928.9678,13378492000.408422,1.00306846394188,69603319.7662413,7784.760414090989,0.0304770751627437,0.0,7.619268790685941
2024-07-23 00:00:00 UTC,67607.71339918874,1333201881091.7786,43157593651.80313,3443.073350817144,413961610216.0809,18304154013.68757,1.0006809520942417,69557814.56087059,7702.126382850816,0.030456789101563,0.0,7.614197275390754
2024-07-24 00:00:00 UTC,65942.41746522837,1300963591115.5374,36100536095.18872,3482.9837705931927,418879212976.8973,25079221799.23048,1.0007574951733746,69564118.48839091,1965.7344325190536,0.0303943174370342,0.0,5.485270986789381
2024-07-25 00:00:00 UTC,65403.53513022529,1290447066028.3152,28680123269.715443,3336.380253038244,401152738546.7264,15765758234.562634,0.9783224341769056,68004624.55606487,1556.234834555447,0.0303943174370342,0.0,5.485270986789381
2024-07-26 00:00:00 UTC,65749.96361965332,1297125144853.139,35836896135.542854,3173.7633983274727,381782355331.5728,25890826733.28285,0.9994946213284004,69511941.24719629,17420.793014232277,0.0301612103104965,0.0,13.171957573955426
2024-07-27 00:00:00 UTC,67920.2964857025,1339927966898.6016,30821370069.20628,3278.1869575279507,394189879099.2592,15169277359.834238,0.9960571788574104,69237392.62052216,24639.752248829205,0.0303254742999801,0.0,53.62841167277595
2024-07-28 00:00:00 UTC,68055.40838968738,1342889431798.832,30976752616.761925,3254.611672582785,391424161950.5181,14496971021.239912,0.993687406276048,69098808.75551803,8251.95148474798,0.0300481488836016,0.0,16.526481885980914
2024-07-29 00:00:00 UTC,68242.2474440493,1346263382369.5552,17175244020.36542,3272.8501306701373,393579006059.7797,7818233563.235541,0.9944550370066148,69126025.39511392,1024.6954424664718,0.0303397970637454,0.0,11.01334633413958
2024-07-30 00:00:00 UTC,66770.32091848266,1317581413497.2551,42529043667.45024,3316.942188773212,399239444647.5382,18452148650.905613,0.9968806941104112,69393971.91573925,10718.133441495653,0.0301880342851458,0.0,11.734525278202842
2024-07-31 00:00:00 UTC,66219.05102486102,1306758338817.987,28892376510.689587,3276.981779516743,393942961780.88654,13805865977.524103,0.9806173055504612,68171333.05220047,1570.6056843785177,0.0301880342851458,0.0,11.734525278202842
